"Reference","URN","Version"
"AF120644   ","141896","1"
"AF120765   ","138623","1"
"AF120765   ","141705","1"
"AF120765   ","141912","1"
"AF120765   ","141913","1"
"AF120930   ","141899","1"
"AF120930   ","141900","1"
"AF120930   ","141909","1"
"AF120930   ","141910","1"
"AF121062   ","141214","1"
"AF121273   ","139844","1"
"AF121273   ","141707","1"
"AF121451   ","140055","1"
"AF121451   ","141400","1"
"AF121477   ","141872","1"
"AF121515   ","136649","1"
"AF121515   ","141378","1"
"AF121797   ","136528","1"
"AF121797   ","141696","1"
"AF121944   ","139368","1"
"AF121944   ","141538","1"
"AF121944   ","141693","1"
"AF121947   ","141325","1"
"AF121947   ","141342","1"
"AF121947   ","141343","1"
"AF121947   ","141570","1"
"AF122297   ","141712","1"
"AF122381   ","141892","1"
"AF122381   ","141906","1"
"AF122392   ","142266","1"
"AF122485   ","141839","1"
"AF122485   ","141857","1"
"AF122514   ","140861","1"
"AF122608   ","140502","1"
"AF122608   ","141319","1"
"AF122657   ","137939","1"
"AF122657   ","140368","1"
"AF122745   ","141576","1"
"AF123164   ","141841","1"
"AF123367   ","141898","1"
"AF124024   ","141805","1"
"AF124064   ","141714","1"
"AF124377   ","141735","1"
"AF124627   ","141669","1"
"AF124627   ","141670","1"
"AF124627   ","141815","1"
"AF124627   ","141820","1"
"AF124627   ","141830","1"
"AF124627   ","141835","1"
"AF125063   ","141632","1"
"AF125152   ","138841","1"
"AF125152   ","140821","1"
"AF126549   ","139624","1"
"AF126549   ","141873","1"
"AF126620   ","137523","1"
"AF126620   ","141665","1"
"AF126881   ","138189","1"
"AF126881   ","141777","1"
"AF126881   ","141796","1"
"AF126881   ","141804","1"
"AF126881   ","141806","1"
"AF126920   ","141716","1"
"AF127026   ","131065","1"
"AF127026   ","141131","1"
"AF127238   ","136800","1"
"AF127238   ","141876","1"
"AF128088   ","139361","1"
"AF128088   ","140329","1"
"AF128159   ","141675","1"
"AF128159   ","141676","1"
"AF128159   ","141677","1"
"AF128267   ","141408","1"
"AF128267   ","141773","1"
"AF128267   ","141793","1"
"AF128595   ","137139","1"
"AF128595   ","141722","1"
"AF128797   ","138772","1"
"AF128797   ","138773","1"
"AF128797   ","138863","1"
"AF128821   ","139871","1"
"AF128821   ","142002","1"
"AF129162   ","142158","1"
"AF129537   ","140352","1"
"AF129537   ","141987","1"
"AF129832   ","136392","1"
"AF129832   ","141797","1"
"AF129921   ","141791","1"
"AF131222   ","140675","1"
"AF131222   ","142304","1"
"AF131227   ","140675","1"
"AF131227   ","142305","1"
"AF131691   ","140209","1"
"AF131691   ","140268","1"
"AF131691   ","140394","1"
"AF133514   ","138358","1"
"AF133514   ","141903","1"
"AF134174   ","137011","1"
"AF135271   ","141965","1"
"AF135297   ","136569","1"
"AF135297   ","142124","1"
"AF135598   ","139855","1"
"AF135598   ","139859","1"
"AF136062   ","139722","1"
"AF136062   ","142107","1"
"AF136333   ","138774","1"
"AF136333   ","141816","1"
"AF136333   ","141833","1"
"AF136333   ","141840","1"
"AF136333   ","142140","1"
"AF136333   ","142152","1"
"AF137125   ","141942","2"
"AF138614   ","141451","1"
"AF138614   ","141636","1"
"AF138614   ","141637","1"
"AF138614   ","142312","1"
"AF138839   ","135311","1"
"AF138839   ","140934","1"
"AF138862   ","140898","1"
"AF138862   ","141798","1"
"AF138862   ","141810","1"
"AF138868   ","136779","1"
"AF138868   ","141694","1"
"AF138984   ","141728","1"
"AF139162   ","140457","1"
"AF139162   ","141033","1"
"AF139167   ","138033","1"
"AF139167   ","142203","1"
"AF139241   ","139348","1"
"AF139241   ","141513","1"
"AF139241   ","142008","1"
"AF139269   ","140180","1"
"AF139269   ","141657","1"
"AF139314   ","141473","1"
"AF139314   ","141474","1"
"AF139434   ","138738","1"
"AF139434   ","141308","1"
"AF139434   ","141548","1"
"AF139434   ","141881","1"
"AF139464   ","136920","1"
"AF139464   ","141117","1"
"AF139484   ","141338","1"
"AF139539   ","139455","1"
"AF139539   ","141340","1"
"AF139695   ","139896","1"
"AF139695   ","142059","1"
"AF139881   ","141891","1"
"AF140099   ","138123","1"
"AF140099   ","141884","1"
"AF140357   ","137870","1"
"AF140357   ","141097","1"
"AF140519   ","139871","1"
"AF140519   ","142001","1"
"AF140966   ","141620","1"
"AF141009   ","141708","1"
"AF141256   ","139822","1"
"AF141256   ","141216","1"
"AF141256   ","141659","1"
"AF141262   ","139822","1"
"AF141262   ","141220","1"
"AF141275   ","141747","1"
"AF141275   ","141803","1"
"AF141275   ","141812","1"
"AF141275   ","141817","1"
"AF141275   ","141823","1"
"AF141275   ","141836","1"
"AF141287   ","139464","1"
"AF141287   ","141368","1"
"AF141311   ","141917","1"
"AF141311   ","141974","1"
"AF141444   ","140982","1"
"AF141496   ","139099","1"
"AF141496   ","142058","1"
"AF141563   ","141086","1"
"AF141784   ","141059","1"
"AF141784   ","141062","1"
"AF141880   ","141059","1"
"AF141880   ","141062","1"
"AF142077   ","141633","1"
"AF142077   ","141634","1"
"AF142077   ","141635","1"
"AF142077   ","142064","1"
"AF142264   ","141210","1"
"AF142290   ","141674","1"
"AF142290   ","141824","1"
"AF142290   ","141846","1"
"AF142290   ","141850","1"
"AF142357   ","141495","1"
"AF142599   ","138916","1"
"AF142599   ","140429","1"
"AF142923   ","136318","1"
"AF142923   ","139073","1"
"AF142923   ","142144","1"
"AF142923   ","142303","1"
"AF142948   ","138624","1"
"AF142948   ","141807","1"
"AF143718   ","139728","1"
"AF143718   ","141559","1"
"AF143725   ","139701","1"
"AF143766   ","140202","1"
"AF143776   ","137030","1"
"AF143776   ","142000","1"
"AF143931   ","138546","1"
"AF143931   ","141191","1"
"AF144381   ","136565","1"
"AF144381   ","141120","1"
"AF144418   ","136762","1"
"AF144418   ","141450","1"
"AF144448   ","137609","1"
"AF144448   ","141578","1"
"AF144448   ","141579","1"
"AF144479   ","136534","1"
"AF144479   ","140434","1"
"AF144479   ","142019","1"
"AF144628   ","136662","1"
"AF144628   ","141553","1"
"AF144655   ","136655","1"
"AF144655   ","141732","1"
"AF145428   ","141394","1"
"AF146064   ","135315","1"
"AF146064   ","138052","1"
"AF146064   ","140014","1"
"AF146064   ","142110","1"
"AF146305   ","135888","2"
"AF146305   ","141085","2"
"AF148110   ","135598","1"
"AF148110   ","141037","1"
"AF148110   ","141387","1"
"AF148110   ","141719","1"
"AF148110   ","141720","1"
"AF148542   ","138951","1"
"AF148542   ","142155","1"
"AF148834   ","136413","2"
"AF148834   ","141983","2"
"AF148835   ","138315","1"
"AF148835   ","141761","1"
"AF148835   ","141847","1"
"AF149644   ","136126","1"
"AF149644   ","141938","1"
"AF149880   ","135881","1"
"AF149880   ","141032","1"
"AF149880   ","141982","1"
"AF149880   ","142062","1"
"AF150163   ","136126","1"
"AF150163   ","141376","1"
"AF150703   ","142121","2"
"AF150916   ","141985","1"
"AF150916   ","142016","1"
"AF151335   ","139348","1"
"AF151335   ","141513","1"
"AF151335   ","142008","1"
"AF151342   ","134815","1"
"AF151342   ","141403","1"
"AF151342   ","141404","1"
"AF151342   ","141617","1"
"AF151453   ","141058","1"
"AF151453   ","141063","1"
"AF151453   ","141064","1"
"AF151453   ","141066","1"
"AF151468   ","142095","1"
"AF151468   ","142096","1"
"AF151468   ","142097","1"
"AF151733   ","136618","1"
"AF151733   ","142355","1"
"AF151839   ","142014","1"
"AF151841   ","140379","1"
"AF151858   ","142238","1"
"AF151858   ","142240","1"
"AF151858   ","142243","1"
"AF151942   ","142161","1"
"AF152040   ","141770","1"
"AF152040   ","141837","1"
"AF152040   ","141848","1"
"AF152136   ","141869","1"
"AF152137   ","140380","1"
"AF152147   ","137212","1"
"AF152147   ","142032","1"
"AF152418   ","140546","1"
"AF152418   ","141455","1"
"AF152418   ","141587","1"
"AF152418   ","141588","1"
"AF152418   ","141589","1"
"AF152474   ","137010","1"
"AF152474   ","140156","1"
"AF152602   ","138373","1"
"AF152602   ","139272","1"
"AF152602   ","141640","1"
"AF152602   ","141702","1"
"AF152606   ","135961","1"
"AF152606   ","138711","1"
"AF152606   ","139211","1"
"AF152606   ","141377","1"
"AF152606   ","141399","1"
"AF152654   ","142021","1"
